easting,northing,vs30,uncertainty,station,q,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv,gid
1757230.32862793,5736718.9826654,800,0.2,MOZ,2,782.0686,0.6023249,5,736.6329,0.65327823,12
1929212.35136908,5665551.029884,800,0.5,NMHZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
2038626.90918955,5713758.49500746,1000,0.5,NOZ,3,782.0686,0.6023249,5,736.6329,0.65327823,12
1783037.04892007,5479325.41108842,1000,0.5,OGWZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1771390.78367878,5909009.66590669,800,0.5,OTAZ,3,782.0686,0.6023249,7,769.95667,0.7053239,12
1654252.42313601,6102431.11246214,1000,0.5,OUZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1834933.97260201,5525085.29404889,800,0.5,POWZ,3,782.0686,0.6023249,5,736.6329,0.65327823,12
2023421.34264764,5680461.59334035,1000,0.5,PRGZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1985123.85312014,5729947.46009295,800,0.5,RAGZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1954297.43831599,5684583.57944061,800,0.5,RAHZ,3,782.0686,0.6023249,5,736.6329,0.65327823,12
1127209.68196248,4969292.48868809,1500,0.5,SCLF,3,1068.298,0.6903283,7,769.95667,0.7053239,12
1141711.53604588,5002056.38391999,1500,0.5,TANF,3,1068.298,0.6903283,2,730.71454,0.7424247,12
1587580.6899856,6179072.60588744,1000,0.5,TIKO,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1843523.82768873,5482096.42107586,1000,0.5,TIWZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
2036344.4235117,5762841.00842698,800,0.5,TWGZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1790391.66285882,5925966.48018971,1000,0.5,WIAZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1740120.50286215,5911468.41189707,1000,0.5,WTAZ,3,711.34503,0.91852474,11,691.41766,0.7239429,12
1757836.91276238,5919954.34258763,800,0.5,AKUS,3,782.0686,0.6023249,8,614.3239,0.71882683,12
1927505.06961579,5587875.30683845,800,0.5,CREC,3,782.0686,0.6023249,15,220.0589,0.4556925,12
1751943.27723281,5923486.48760595,1000,0.5,KAPS,3,782.0686,0.6023249,7,769.95667,0.7053239,12
1911942.7155053,5626091.94282664,1000,0.5,KONC,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1955644.75564564,5678083.04184553,800,0.5,LPIH,3,782.0686,0.6023249,13,255.27419,0.65902555,12
1825314.37024874,5628628.83526906,800,0.5,LWON,3,782.0686,0.6023249,15,220.0589,0.4556925,12
1753813.44326068,5916456.51695634,584,0.5,MAGS,3,782.0686,0.6023249,14,302.07278,0.53168344,12
1131613.79869424,4983405.33751211,1500,0.5,MTNF,3,1068.298,0.6903283,3,934.96515,0.6438865,12
1196775.67931099,4860753.94543273,1000,0.5,ORPS,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1951843.82490468,5691225.76015247,1000,0.5,PAHZ,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1125501.25907872,4969698.08110964,1500,0.5,SCTS,3,1068.298,0.6903283,4,1023.52203,0.707888,12
1960232.11284346,5693952.51838329,800,0.5,TAPC,3,782.0686,0.6023249,6,491.11566,0.68166685,12
1582682.76965114,5326335.46096701,800,0.5,TENS,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1141764.50122145,5001992.46872406,1500,0.5,TLBF,3,1068.298,0.6903283,2,730.71454,0.7424247,12
1960258.61678688,5693951.31271926,800,0.5,TUIC,3,782.0686,0.6023249,6,491.11566,0.68166685,12
