easting,northing
1545083.54975021,5307970.41252497
1623880.57227216,5430588.41378328
1433314.0951316,5268511.73233864
1186830.18330778,4957213.88196876
1348556.87761299,4874759.94637656
1843034.07259359,5680727.13157331
1488782.50768646,5368110.00971868
1934655.31377966,5774703.10830139
1934656.32964357,5774760.33348506
1934465.81565767,5774756.72294424
1783403.1951368,5601513.07427761
1294402.9247768,5043728.68855475
1982936.58189521,5670158.86585136
1532497.60273951,5312835.63633556
2003322.98076072,5798299.04140041
1806928.45466471,5549379.88053812
1302221.12434021,5005797.0462873
1843643.12469572,5531114.52492322
1543911.23010708,5371931.96861163
1780138.19466134,5449779.62888258
1544100.4637881,5372211.30531271
1616893.83261193,5386887.44565905
1749109.13645376,5426688.27068828
1982936.04533621,5670147.85261603
1760658.41198629,5433384.82110907
1600994.17096339,5449011.73913093
1623723.8109244,5431110.67004819
1684425.04401199,5428682.7439423
1590120.13425989,5400889.6005966
1543363.35855053,5371961.10497881
1483529.2473754,5376422.54111082
1505795.19753904,5336649.3518216
1452859.03738485,5298829.36002442
1656124.26545688,5304751.20752044
1433313.82955067,5268522.74636518
1562661.13307315,5184783.6564114
1822081.82685684,5529526.94826294
1775417.53180645,5577577.19172964
1822091.41358254,5526082.34607283
1763856.72842675,5436556.79101321
1763856.72842675,5436556.79101321
1759407.40524184,5432579.28240001
1763894.04650739,5437077.98701552
1483084.96425151,5243927.93336742
1440251.45720224,5003927.06063849
1756891.37066074,5434433.01929472
1761681.55187893,5438327.37140148
1755902.42499607,5434739.40803771
1757524.63406549,5434663.83432328
1760666.08487152,5433384.65181931
1760736.0682224,5433483.10595259
1760668.65184451,5433385.01890403
1760666.08487152,5433384.65181931
1757808.76725217,5435257.23878162
1763209.60825168,5430872.98926194
1763194.98399525,5430962.30098469
1763194.98399525,5430962.30098469
1748882.38846274,5427848.33264781
1748797.09240122,5427803.04927516
1748527.20995224,5428921.60740426
1761252.04732196,5436737.33232419
1755320.27424381,5444185.58429601
1755277.30969233,5444153.44894031
1754355.58556185,5445039.43771462
2028418.59431931,5713066.07206598
1748954.0652181,5427291.40192213
1749036.27461537,5427622.73991553
1749011.41347802,5428904.49797798
1748942.15689598,5428769.06420688
1748786.97233297,5427683.3513159
1751345.96707716,5423443.07442533
1748436.81165286,5427812.95769722
1748487.52147161,5426978.94265718
1748487.52147161,5426978.94265718
1748673.54491918,5427075.13076582
1748067.55402229,5428197.997501
1748066.64827973,5428153.52842335
1748775.61484356,5427128.54569628
1748527.20995224,5428921.60740426
1623231.09630339,5431700.49096391
1936878.57231577,5621710.09748495
1932844.2848644,5601550.10767309
1924789.46051859,5778194.53225292
1878446.8840143,5822916.81024158
1759873.98790758,5432446.59546773
1258372.05744665,5004375.5131191
1748954.0652181,5427291.40192213
1597063.21836957,5149128.0533431
1483160.84234804,5243859.30855798
1377086.89327382,5061763.20034552
1874354.19076092,5491735.28998622
1761516.358502,5438210.27098902
1610744.01727391,5418024.5687571
1561993.72988904,5185419.65711767
1569283.76825587,5180329.27269318
1571514.66248992,5179368.48359265
1569904.77068858,5179600.83718991
1569649.67535534,5176302.72341664
1569576.63684976,5175288.98086981
1119289.18327429,4966179.45096106
1583847.38062917,5265879.79889075
1441177.65671906,5083633.62406721
1571343.72479735,5171765.06448077
1763856.72842675,5436556.79101321
1406150.22067634,4916880.37739934
1142961.93127864,4948773.24783934
1126643.3385455,4976846.85891952
1527402.00285507,5184413.95656781
1407021.2675535,4918216.76303955
1500605.58639078,5377849.4472992
1403813.5278821,4913379.29385986
1759115.62319914,5427371.36056324
1762656.50399836,5436404.43612347
1426205.68126112,5114877.39373626
1748946.87189473,5427751.256896
1342678.71823936,5175165.61258902
1526436.15244783,5173684.05010784
2036798.87112874,5711013.53640194
2037080.17362884,5708245.82928689
2028522.14150519,5713256.36885356
2021409.04579288,5810462.34421902
1929764.43802405,5604487.21285766
1770864.98748566,5443714.86563233
1433282.97716366,5268609.74194831
1932836.63095407,5601555.1068722
1515969.8198521,5178731.43336893
1586077.18598576,5292112.13092522
1766266.39383049,5442484.0904205
1576539.76302159,5174756.42508602
1709426.3604598,5617511.0556131
1472615.33737289,5268604.77507103
1248001.5173185,5121831.32607709
1262509.96807618,5111353.88022982
1925350.84855345,5778417.68129678
1898406.1203438,5629391.36155002
1656114.22585807,5302719.2673354
2004671.49607133,5670404.74277654
1572762.55538325,5197323.15551101
1375728.063067,5081447.28215562
1578184.97828092,5171564.57896435
1758704.1688964,5433887.40745164
1557078.510451,5169840.82036533
1760851.67644774,5433677.58443528
1761531.51462303,5436698.51826093
1577789.43897922,5171644.2002914
1759597.72162893,5434025.08085591
1540373.75506805,5263172.74825626
1153144.64773869,4943198.50654065
1806362.16466062,5434913.92383269
1544175.20582907,5372218.24333594
1678813.11714723,5404452.78385736
1752206.39835681,5424691.53796313
1742327.2894685,5434775.35486409
1742862.72946683,5430375.1908633
1217722.56545209,4964727.34065646
1621287.90142625,5340418.42971767
1817977.62609899,5495727.42747004
1197850.11019564,5040802.28654351
1197780.18275562,5040833.23026981
1995813.53977553,5747414.2658532
2068836.4661508,5829494.04943764
1933111.06529977,5624044.50276154
1578283.92967982,5182861.84160154
1763814.32761846,5436948.42262935
1623759.67147889,5431133.84512269
1933299.61897675,5620542.88917589
1935057.33832275,5619744.70983993
1622963.91930089,5429256.93826988
1752679.10079413,5433883.58870974
1936720.72964377,5621981.7624788
1623188.65650164,5431618.46885411
