Station,easting,northing,Vs30,Std,q
CPT_108179_measurement_num_0,1843456.16,5804954.96,219.05,,5
CPT_108182_measurement_num_0,1843492.14,5804947.65,212.53,,5
CPT_108185_measurement_num_0,1843555.87,5804863.83,253.88,,5
CPT_108188_measurement_num_0,1843600.8,5804795.49,224.85,,5
CPT_10822_measurement_num_0,1572307,5181363.8,165.54,,5
CPT_108233_measurement_num_0,1787610,5813621,195.17,,5
CPT_10824_measurement_num_0,1572300.6,5181385.3,164.75,,5
CPT_10849_measurement_num_0,1577028.79,5184185.28,185.41,,5
CPT_10861_measurement_num_0,1577086.57,5183706.96,181.94,,5
CPT_1086_measurement_num_0,1573725.52,5181312.16,146.23,,5
CPT_10879_measurement_num_0,1573859,5182025,175.28,,5
CPT_1088_measurement_num_0,1573475.39,5181613.71,162.84,,5
CPT_10897_measurement_num_0,1574982.35,5185956.2,165.71,,5
CPT_108_measurement_num_0,1572868.4,5181414.69,148.7,,5
CPT_10901_measurement_num_0,1575022.21,5185981.72,180.58,,5
CPT_10902_measurement_num_0,1575201.18,5186036.43,185.65,,5
CPT_10920_measurement_num_0,1577172.48,5183117.04,182.04,,5
CPT_10923_measurement_num_0,1576618.17,5183344.08,187.94,,5
CPT_10936_measurement_num_0,1575338.55,5186283.48,187.22,,5
CPT_1094_measurement_num_0,1573495.1,5181834.56,170.83,,5
CPT_1095_measurement_num_0,1573687.22,5181777.28,147.84,,5
CPT_1096_measurement_num_0,1573913.09,5181844.99,163.68,,5
CPT_1097_measurement_num_0,1574113.48,5181897.97,157.8,,5
CPT_1098_measurement_num_0,1574259.75,5181990.23,164.62,,5
CPT_109918_measurement_num_0,1892894.52,5809454.02,206.5,,5
CPT_109920_measurement_num_0,1889744.85,5817857.2,179.16,,5
CPT_109926_measurement_num_0,1893183.21,5810082.76,209.72,,5
CPT_10995_measurement_num_0,1575303.34,5186099.12,178.53,,5
CPT_109974_measurement_num_0,1748134,5971891,293.5,,5
CPT_109977_measurement_num_0,1748325,5971968,263.17,,5
CPT_109984_measurement_num_0,1748482,5972123,182.7,,5
