wkt_geom,easting,northing,vs30,uncertainty,station,q,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv,gid
Point (1935265.31186779006384313 5621691.48557128012180328),1935265.312,5621691.486,440,0.2,015A,2,272.22363,0.5950514,11,691.41766,0.7239429,5
Point (1936720.7296437700279057 5621981.76247879955917597),1936720.73,5621981.762,440,0.2,NGHS,2,271.35132,0.5950514,9,495.74252,0.7043546,5
Point (1886806.90617660991847515 5745790.7975761704146862),1886806.906,5745790.798,800,0.5,HRRZ,3,408.024,0.6333282,5,736.6329,0.65327823,5
Point (1692922.4476186300162226 5676345.12081259023398161),1692922.448,5676345.121,350,0.5,024A,3,269.42004,0.5950514,11,691.41766,0.7239429,4
Point (1929774.16624396992847323 5604530.50133583042770624),1929774.166,5604530.501,196,0.1,029A,1,261.7628,0.5950514,16,218.11823,0.39540365,4
Point (1863699.76781104994006455 5544465.70524139981716871),1863699.768,5544465.705,367,0.5,033A,3,266.11273,0.5950514,16,218.11823,0.39540365,4
Point (1863439.38632713002152741 5544308.1564556797966361),1863439.386,5544308.156,403,0.5,033C,3,267.3153,0.5950514,16,218.11823,0.39540365,4
Point (1823869.67628001002594829 5463577.59843913000077009),1823869.676,5463577.598,314,0.5,039D,3,261.48254,0.5950514,16,218.11823,0.39540365,4
Point (1823869.67628001002594829 5463577.59843913000077009),1823869.676,5463577.598,314,0.5,039E,3,261.48254,0.5950514,16,218.11823,0.39540365,4
Point (1843034.0725935900118202 5680727.13157331012189388),1843034.073,5680727.132,200,0.5,081A,3,264.61905,0.5950514,16,218.11823,0.39540365,4
Point (1934656.32964356988668442 5774760.33348506037145853),1934656.33,5774760.333,350,0.5,085M,3,274.23373,0.5950514,5,736.6329,0.65327823,4
Point (1783403.19513679994270205 5601513.0742776095867157),1783403.195,5601513.074,800,0.5,087B,3,270.79532,0.5950514,1,791.7739,0.6686169,4
Point (1982936.58189521008171141 5670158.86585136037319899),1982936.582,5670158.866,155,0.2,096A,2,275,0.5950514,255,NA,NA,4
Point (1982936.04533620993606746 5670147.85261602979153395),1982936.045,5670147.853,155,0.2,225B,2,275,0.5950514,255,NA,NA,4
Point (1775417.53180645010434091 5577577.19172963965684175),1775417.532,5577577.192,250,0.2,302A,2,266.47516,0.5950514,15,220.0589,0.4556925,4
Point (2028418.59431931003928185 5713066.0720659801736474),2028418.594,5713066.072,156,0.1,709A,1,258.58496,0.5950514,16,218.11823,0.39540365,4
Point (1932844.28486439003609121 5601550.10767308995127678),1932844.285,5601550.108,256,0.1,928B,1,269.16745,0.5950514,11,691.41766,0.7239429,4
Point (1924789.46051858994178474 5778194.53225291986018419),1924789.461,5778194.532,320,0.5,931B,3,268.4754,0.5950514,15,220.0589,0.4556925,4
Point (2028522.14150518993847072 5713256.36885355971753597),2028522.142,5713256.369,156,0.1,GWTS,1,258.58496,0.5950514,16,218.11823,0.39540365,4
Point (2021409.04579288000240922 5810462.3442190196365118),2021409.046,5810462.344,600,0.5,HAZ,3,275,0.5950514,1,791.7739,0.6686169,4
Point (1929764.43802405009046197 5604487.21285765990614891),1929764.438,5604487.213,196,0.1,HCDS,1,261.7628,0.5950514,16,218.11823,0.39540365,4
Point (1932836.63095407001674175 5601555.10687220003455877),1932836.631,5601555.107,256,0.1,HNPS,1,269.16745,0.5950514,11,691.41766,0.7239429,4
Point (1925350.84855345007963479 5778417.68129677977412939),1925350.849,5778417.681,220,0.2,KAFS,2,263.4218,0.5950514,16,218.11823,0.39540365,4
Point (1959724.35212350008077919 5757421.24784026015549898),1959724.352,5757421.248,800,0.5,URZ,3,272.25934,0.5950514,9,495.74252,0.7043546,4
Point (1983055.45343014993704855 5670097.45201839040964842),1983055.453,5670097.452,155,0.2,WFSS,2,275,0.5950514,15,220.0589,0.4556925,4
Point (1802105.5085277899634093 5815487.61686537973582745),1802105.509,5815487.617,182,0.1,HBHS,1,263.54578,0.5950514,15,220.0589,0.4556925,4
Point (1719121.72433998994529247 6046866.85568401962518692),1719121.724,6046866.856,800,0.5,WBHS,3,274.77264,0.5950514,9,495.74252,0.7043546,4
Point (1933261.13796533993445337 5620565.33963384013622999),1933261.138,5620565.34,176,0.1,014A,1,183.16321,0.2840642,15,220.0589,0.4556925,3
Point (2037740.00310148997232318 5706989.57175206020474434),2037740.003,5706989.572,480,0.5,016A,3,275,0.5950514,7,769.95667,0.7053239,3
Point (1935001.71933718002401292 5619978.38562893960624933),1935001.719,5619978.386,230,0.2,027A,2,175.85156,0.2840642,15,220.0589,0.4556925,3
Point (1935001.71933718002401292 5619978.38562893960624933),1935001.719,5619978.386,230,0.2,027C,2,175.85156,0.2840642,15,220.0589,0.4556925,3
Point (2036798.87112874002195895 5711013.53640193957835436),2036798.871,5711013.536,275,0.1,GHHS,1,271.24573,0.5950514,15,220.0589,0.4556925,3
Point (1933111.06529977009631693 5624044.5027615400031209),1933111.065,5624044.503,243,0.1,NAAS,1,182.06424,0.2840642,16,218.11823,0.39540365,3
Point (1933299.61897674994543195 5620542.88917589001357555),1933299.619,5620542.889,176,0.1,NCDS,1,183.16321,0.2840642,15,220.0589,0.4556925,3
Point (1935057.33832275005988777 5619744.70983992982655764),1935057.338,5619744.71,230,0.1,NCHS,1,175.85156,0.2840642,15,220.0589,0.4556925,3
Point (1934655.31377966003492475 5774703.10830138996243477),1934655.314,5774703.108,350,0.5,085D,3,418,0.25372875,5,736.6329,0.65327823,2
Point (1934465.81565766991116107 5774756.72294424008578062),1934465.816,5774756.723,350,0.5,085N,3,418,0.25372875,255,NA,NA,2
Point (1749109.13645376008935273 5426688.27068828046321869),1749109.136,5426688.271,245,0.2,132A,2,242,0.25372875,13,255.27419,0.65902555,2
