wkt_geom,easting,northing,vs30,uncertainty,station,q,gid,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv
Point (1806362.16466061910614371 5434913.92383268568664789),1806362.165,5434913.924,390,0.5,MAVS,3,4,264.1043,0.5950514,16,218.11823,0.39540365
Point (1752206.39835681323893368 5424691.53796312864869833),1752206.398,5424691.538,274,0.1,MISS,1,6,222.52544,0.39401674,13,255.27419,0.65902555
Point (1742327.289468496106565 5434775.35486409161239862),1742327.289,5434775.355,1000,0.5,MKBS,3,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (1742862.72946682944893837 5430375.1908632991835475),1742862.729,5430375.191,480,0.5,MKVS,3,4,273.45233,0.5950514,11,691.41766,0.7239429
Point (1817977.62609898578375578 5495727.42747004143893719),1817977.626,5495727.427,800,0.5,MRZ,3,12,782.0686,0.6023249,9,495.74252,0.7043546
Point (1995813.53977553080767393 5747414.26585319731384516),1995813.54,5747414.266,800,0.5,MWZ,3,12,782.0686,0.6023249,4,1023.52203,0.707888
Point (2068836.46615079580806196 5829494.04943764209747314),2068836.466,5829494.049,1000,0.5,MXZ,3,15,1068.298,0.6903283,8,614.3239,0.71882683
Point (1933111.06529976706951857 5624044.5027615362778306),1933111.065,5624044.503,243,0.1,NAAS,1,3,182.06424,0.2840642,16,218.11823,0.39540365
Point (1763814.32761846086941659 5436948.4226293470710516),1763814.328,5436948.423,190,0.1,NBSS,1,4,266.16132,0.5950514,14,302.07278,0.53168344
Point (1933299.61897675110958517 5620542.88917589001357555),1933299.619,5620542.889,176,0.1,NCDS,1,3,183.16321,0.2840642,15,220.0589,0.4556925
Point (1935057.33832274959422648 5619744.70983993168920279),1935057.338,5619744.71,230,0.1,NCHS,1,3,175.85156,0.2840642,15,220.0589,0.4556925
Point (1752679.10079412558116019 5433883.58870973996818066),1752679.101,5433883.589,1000,0.5,NEWS,3,12,782.0686,0.6023249,7,769.95667,0.7053239
Point (1936720.72964376676827669 5621981.76247879769653082),1936720.73,5621981.762,440,0.2,NGHS,2,4,272.9063,0.5950514,9,495.74252,0.7043546
Point (1785737.13955774460919201 5395072.83377425000071526),1785737.14,5395072.834,800,0.5,NMPS,3,6,239,0.39401674,2,730.71454,0.7424247
Point (1936784.14675469393841922 5621565.26159220561385155),1936784.147,5621565.262,600,0.5,NSPS,3,6,234.15837,0.39401674,6,491.11566,0.68166685
Point (1786202.74720220803283155 5393437.5171827906742692),1786202.747,5393437.517,600,0.5,NWFS,3,7,387.9002,0.68287367,6,491.11566,0.68166685
Point (1757530.02175165573135018 5434617.10943770222365856),1757530.022,5434617.109,200,0.2,PGMS,2,6,190.12105,0.39401674,16,218.11823,0.39540365
Point (1749605.65599732333794236 5430010.42431875318288803),1749605.656,5430010.424,210,0.1,PIPS,1,2,418,0.25372875,255,NA,NA
Point (1754366.85360972140915692 5445026.91254623793065548),1754366.854,5445026.913,275,0.5,POLS,3,6,239,0.39401674,14,302.07278,0.53168344
Point (1748637.57650757930241525 5429504.893869673833251),1748637.577,5429504.894,453,0.1,POTS,1,2,418,0.25372875,2,730.71454,0.7424247
Point (1762053.43964358698576689 5431795.01635883748531342),1762053.44,5431795.016,190,0.2,PRKS,2,7,387.9002,0.68287367,13,255.27419,0.65902555
Point (1755929.78229593392461538 5434821.86925801075994968),1755929.782,5434821.869,450,0.5,PTOS,3,4,275,0.5950514,5,736.6329,0.65327823
Point (2061275.5282865334302187 5773176.16049266885966063),2061275.528,5773176.16,1000,0.5,PUZ,3,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (1757066.44314385717734694 5434600.42574321385473013),1757066.443,5434600.426,190,0.2,PVCS,2,6,239,0.39401674,16,218.11823,0.39540365
Point (1929559.82685889187268913 5561798.19316084124147892),1929559.827,5561798.193,1000,0.5,PWZ,3,12,782.0686,0.6023249,5,736.6329,0.65327823
Point (1929568.2348342752084136 5561691.31316035427153111),1929568.235,5561691.313,1000,0.5,PXZ,3,12,782.0686,0.6023249,5,736.6329,0.65327823
Point (1749127.93534163967706263 5426794.65594585984945297),1749127.935,5426794.656,246,0.1,RQGS,1,2,242,0.25372875,13,255.27419,0.65902555
Point (1946599.86860340181738138 5718376.38476493954658508),1946599.869,5718376.385,1000,0.5,RTZ,3,12,782.0686,0.6023249,7,769.95667,0.7053239
Point (1753785.98822682839818299 5423374.41751352790743113),1753785.988,5423374.418,305,0.1,SEAS,1,6,239,0.39401674,255,NA,NA
Point (1756241.53630049992352724 5430984.4266660213470459),1756241.536,5430984.427,1000,0.5,SOMS,3,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (1763954.66498334798961878 5439376.20044904015958309),1763954.665,5439376.2,510,0.1,TAIS,1,4,261.25446,0.5950514,15,220.0589,0.4556925
Point (1878298.75559403328225017 5822479.28476557694375515),1878298.756,5822479.285,209,0.1,TBCS,1,15,1068.298,0.6903283,13,255.27419,0.65902555
Point (1749133.80125537910498679 5427454.22772121150046587),1749133.801,5427454.228,292,0.1,TEPS,1,2,418,0.25372875,255,NA,NA
Point (1749334.47258227225393057 5429133.86765369959175587),1749334.473,5429133.868,271,0.1,TFSS,1,2,243.78769,0.25372875,11,691.41766,0.7239429
Point (1853854.77584417723119259 5738144.47621346823871136),1853854.776,5738144.476,600,0.5,TIRS,3,15,1068.298,0.6903283,13,255.27419,0.65902555
Point (1781067.7255438317079097 5450336.41833688039332628),1781067.726,5450336.418,800,0.5,TMDS,3,12,782.0686,0.6023249,5,736.6329,0.65327823
Point (1775111.24707250203937292 5447500.18351541273295879),1775111.247,5447500.184,500,0.5,TOTS,3,4,273.66135,0.5950514,14,302.07278,0.53168344
Point (1820473.23000889830291271 5821088.447614761069417),1820473.23,5821088.448,800,0.5,TOZ,3,13,439.86578,0.702906,5,736.6329,0.65327823
Point (1866814.90816465276293457 5713564.59382014628499746),1866814.908,5713564.594,454,0.5,TPPS,3,15,1068.298,0.6903283,255,NA,NA
Point (1852563.86346579459495842 5561541.8206256153061986),1852563.863,5561541.821,800,0.5,TSZ,3,13,439.86578,0.702906,3,934.96515,0.6438865
Point (1771321.66525775147601962 5445157.62266796547919512),1771321.665,5445157.623,390,0.1,UHCS,1,4,262.19586,0.5950514,15,220.0589,0.4556925
Point (1773350.53372380509972572 5445158.09407148323953152),1773350.534,5445158.094,481,0.1,UHSS,1,4,262.807,0.5950514,14,302.07278,0.53168344
Point (1959724.35212349845096469 5757421.24784025922417641),1959724.352,5757421.248,800,0.5,URZ,3,4,272.25934,0.5950514,9,495.74252,0.7043546
Point (1748934.61604341119527817 5428650.58471671771258116),1748934.616,5428650.585,286,0.1,VUWS,1,2,395.59198,0.25372875,16,218.11823,0.39540365
Point (1761836.56634299387224019 5433778.22096345759928226),1761836.566,5433778.221,1000,0.5,WANS,3,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (1881003.61906326957978308 5522481.38758184667676687),1881003.619,5522481.388,800,0.5,WBFS,3,12,782.0686,0.6023249,9,495.74252,0.7043546
Point (1774991.46044166735373437 5577600.11720823496580124),1774991.46,5577600.117,250,0.5,WCDS,3,8,405.4836,0.5624408,15,220.0589,0.4556925
Point (1763234.40635468368418515 5430838.11067785602062941),1763234.406,5430838.111,120,0.1,WDAS,1,1,159.1076,0.3545938,13,255.27419,0.65902555
Point (1843768.83139457553625107 5530749.24061260186135769),1843768.831,5530749.241,290,0.5,WDPS,3,4,265.33487,0.5950514,16,218.11823,0.39540365
Point (1749020.12058608862571418 5429267.00045726541429758),1749020.121,5429267,265,0.1,WEMS,1,4,270.504,0.5950514,15,220.0589,0.4556925
Point (1983055.45343015273101628 5670097.45201839227229357),1983055.453,5670097.452,155,0.2,WFSS,2,4,275,0.5950514,15,220.0589,0.4556925
Point (1751392.94301523617468774 5423428.96002312190830708),1751392.943,5423428.96,229,0.1,WNAS,1,6,212.684,0.39401674,15,220.0589,0.4556925
Point (1748645.57125232787802815 5426332.54486156441271305),1748645.571,5426332.545,493,0.1,WNHS,1,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (1745879.54589280858635902 5428161.30923353135585785),1745879.546,5428161.309,369,0.1,WNKS,1,4,269.67847,0.5950514,11,691.41766,0.7239429
Point (1763891.79224990122020245 5947911.82177112437784672),1763891.792,5947911.822,800,0.5,ABAZ,3,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (1871611.17975504230707884 5719918.66634702496230602),1871611.18,5719918.666,409,0.5,ARAZ,3,15,1068.298,0.6903283,7,769.95667,0.7053239
Point (1863412.13579004444181919 5624444.88567775394767523),1863412.136,5624444.886,800,0.5,BHHZ,3,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (1869646.336643997579813 5466319.37819326668977737),1869646.337,5466319.378,1000,0.5,CPWZ,3,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (1821133.31561673735268414 5649542.16361401230096817),1821133.316,5649542.164,1000,0.5,DRZ,3,15,1068.298,0.6903283,15,220.0589,0.4556925
Point (1771641.11337024113163352 5908549.85879032500088215),1771641.113,5908549.859,1000,0.5,ETAZ,3,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (1754273.17226851405575871 5920355.81147163547575474),1754273.172,5920355.811,800,0.5,HBAZ,3,12,782.0686,0.6023249,11,691.41766,0.7239429
Point (1761789.04765109438449144 5735640.29316181875765324),1761789.048,5735640.293,800,0.5,HIZ,3,12,782.0686,0.6023249,5,736.6329,0.65327823
Point (1886806.90617661061696708 5745790.79757617227733135),1886806.906,5745790.798,800,0.5,HRRZ,3,5,408.024,0.6333282,5,736.6329,0.65327823
